Teams2.yearID,Teams2.teamID,Teams2.W,DivWin,WCWin,LgWin,WSWin,Teams2.attendance
2018,CIN,67,0,0,0,0,1629356
2018,CLE,91,1,0,0,0,1926701
2018,COL,91,0,1,0,0,3015880
2018,DET,64,0,0,0,0,1856970
2018,HOU,103,1,0,0,0,2980549
2018,KCA,58,0,0,0,0,1665107
2018,LAA,80,0,0,0,0,3020216
2018,LAN,92,1,0,1,0,3857500
2018,MIA,63,0,0,0,0,811104
2018,MIL,96,1,0,0,0,2850875
2018,MIN,78,0,0,0,0,1959197
2018,NYA,100,0,1,0,0,3482855
2018,NYN,77,0,0,0,0,2224995
2018,OAK,97,0,1,0,0,1573616
2018,PHI,80,0,0,0,0,2158124
2018,PIT,82,0,0,0,0,1465316
2018,SDN,66,0,0,0,0,2168536
2018,SEA,89,0,0,0,0,2299489
2018,SFN,73,0,0,0,0,3156185
2018,SLN,88,0,0,0,0,3403587
2018,TBA,90,0,0,0,0,1154973
2018,TEX,67,0,0,0,0,2107107
2018,TOR,73,0,0,0,0,2325281
2018,WAS,82,0,0,0,0,2529604
